stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,zone_id,level_id,stop_timezone,platform_code,wheelchair_boarding,stop_code,stop_url,stop_desc
node/10268582076,Garage,5.377372,-3.930427,,,,,,,,,,
node/10268582077,Nouveau goudron Abatta,5.374123,-3.929002,,,,,,,,,,
node/10273846184,Arrêt Sotra,5.399085,-3.951984,,,,,,,,,,
node/10273846186,Nouveau CHU,5.399446,-3.953441,,,,,,,,,,
node/10273846187,Carrefour Rois des Rois,5.396189,-3.931920,,,,,,,,,,
node/10273846188,Carrefour Docteur,5.396560,-3.934570,,,,,,,,,,
node/10273846189,Immeuble Rouge,5.396937,-3.937400,,,,,,,,,,
node/10273846190,Carrefour Djorobité,5.397252,-3.939690,,,,,,,,,,
node/10273846191,Carrefour Mosquée,5.397806,-3.943207,,,,,,,,,,
node/10273846192,Carrefour Base CIE,5.398454,-3.947753,,,,,,,,,,
node/10273846193,Nouveau CHU,5.399500,-3.953860,,,,,,,,,,
node/10273846194,Arrêt Sotra,5.399242,-3.951667,,,,,,,,,,
node/10273846195,Carrefour Eglise,5.399007,-3.950078,,,,,,,,,,
node/10273846196,Carrefour Base CIE,5.398636,-3.947496,,,,,,,,,,
node/10273846197,Carrefour Miss Zahoui,5.398243,-3.944354,,,,,,,,,,
node/10273846198,Carrefour Mosquée,5.398022,-3.943014,,,,,,,,,,
node/10273846199,Carrefour Djorobité,5.397507,-3.939390,,,,,,,,,,
node/10273846200,Immeuble Rouge,5.397155,-3.936962,,,,,,,,,,
node/10273846201,Carrefour Docteur,5.396790,-3.934339,,,,,,,,,,
node/10273846202,Carrefour Rois des Rois,5.396384,-3.931556,,,,,,,,,,
node/10273846203,Carrefour Nouvelle Construction,5.395988,-3.928475,,,,,,,,,,
node/10273846204,Carrefour Gendarme,5.395131,-3.924094,,,,,,,,,,
node/10273846205,Carrefour Gendarme,5.395208,-3.923843,,,,,,,,,,
node/10273846206,1er Arrêt,5.393180,-3.923159,,,,,,,,,,
node/10273846207,Rond Point du Chateau,5.389458,-3.925276,,,,,,,,,,
node/10273846208,Au Feu,5.390975,-3.922529,,,,,,,,,,
node/10273858209,Au Feu,5.391010,-3.922288,,,,,,,,,,
node/10273858210,A la Terrasse,5.389779,-3.924175,,,,,,,,,,
